name;area;price
Uutuusviski1;Uutuudet;9,40
Uutuusviski2;Uutuudet;19,40
Uutuusviski3;Uutuudet;29,40
Uutuusviski4;Uu tuudet;49,40
Uutuusviski5;Uu tuudet;59,40
Uutuusviski6;Uu tuudet;559,40
Uutuusviski7;Uu tuudet;6669,40
;;
;;
Aberfeldy 18yo Cadenhead's;Highland;13,00
Aberlour 10yo;Highland;9,90
Aberlour 12yo Double Cask;Highland;10,40
Aberlour 15yo Select Cask Reserve;Highland;12,80
Aberlour 16yo;Highland;15,50
Aberlour 18yo;Highland;19,10
Aberlour A'Bunadh;Highland;16,50
Aberlour Casg Annamh;Highland;15,30
Allt-A-Bhainne 1992 9yo Bourbon Cask Cadenhead's;Highland;15,00
AnCnoc 12yo;Highland;10,70
AnCnoc 1993;Highland;9,90
AnCnoc Peter Arkle Limited Edition;Highland;18,50
AnCnoc Peatlands;Highland;14,50
Ardmore Legacy;Highland;9,90
Asyla, Compass Box;Highland;8,40
Auchroisk 11yo D&T;Highland;11,60
Auchroisk Clydesdale ;Highland;14,20
Balblair 10yo G&M;Highland;12,50
Balblair 1979;Highland;26,00
Balblair 1989;Highland;14,00
Balblair 1997;Highland;9,90
Ballantines;Highland;6,70
Ballantine's 12yo;Highland;9,90
Ballantine's 17yo;Highland;15,80
Ballantine's 21yo;Highland;26,40
Ballantine's Hard Fired;Highland;6,70
Balmenack 9yo D&T;Highland;11,60
Balvenie 12 yo Double Wood;Highland;13,60
Balvenie 12 yo Single Barrel First Fill ;Highland;17,90
Balvenie 14 yo Caribean Cask;Highland;17,70
Balvenie 15 yo Single Barrel;Highland;32,20
Balvenie 16yo Triple Cask;Highland;26,70
Balvenie 17yo Double Wood;Highland;29,40
Balvenie 21yo Portwood;Highland;40,30
Balvenie 25yo;Highland;111,70
Balvenie 30yo;Highland;155,20
Balvenie Tun 1401;Highland;39,00
Balvenie 1993 Portwood;Highland;17,90
Balvenie The Sweet Toast Of American Oak 12yo;Highland;14,00
Balvenie The Week Of Peat 14yo;Highland;19,90
Banff 1976 C&C;Highland;19,50
Banff 24yo Blackadder;Highland;20,30
Ben Nevis '90 Red Berry Cream, Wemyss Malts;Highland;21,00
Ben Nevis 26 yo;Highland;26,80
Benriach 10yo;Highland;10,10
Benriach 12yo;Highland;11,40
Benriach 15yo Dark Rum Cask;Highland;15,40
Benriach 12yo Importanticus Fumosus Heavily Peated Tawny Port Finish;Highland;13,00
Benriach 16yo;Highland;14,60
Benriach 16yo Sauternes;Highland;13,50
Benriach 16yo 1994 Peated Pedro Ximenez for Pikkulintu;Highland;27,30
Benriach 17yo Septendecim;Highland;15,60
Benriach 1994 Peated for Finland;Highland;14,00
Benriach 1998 SMWS:n Pullote;Highland;18,90
Benriach Birnie Moss Heavily Peated;Highland;9,90
Benrinnes 16yo Blackadder;Highland;11,90
Benromach 10yo;Highland;12,00
Benromach 19yo Rare Malts;Highland;15,00
Benromach Organic;Highland;12,50
Benromach Origins Batch 4 Port Pipes;Highland;14,00
Benromach Origins Batch 5 Golden Promise;Highland;12,60
Benromach Peat Smoke Batch #4;Highland;15,00
Benromach Peat Smoke 2005;Highland;15,00
Benromach Traditional;Highland;9,90
Benromach Cask 2003;Highland;14,80
Black Bull 12 yo;Highland;11,90
Braes of Glenlivet 1977 Madeira Mackillop's;Highland;22,00
Caperdonich 37yo D&T;Highland;40,00
Chas MacKinlay Rare & Old Shackleton;Highland;25,80
Chieftains 15yo;Highland;9,90
Chieftains 19yo;Highland;11,00
Chivas Regal 12yo;Highland;9,90
Chivas Regal Mizunara;Highland;20,60
Clan Campbell 12yo;Highland;7,50
Clynelish 14yo;Highland;12,20
Clynelish 1989 CC;Highland;10,90
Clynelish 23yo The First Edition;Highland;26,00
Clynelish 1997 G&M;Highland;18,00
Coleburn 1972 CC;Highland;17,80
Convalmore 1981 C&C;Highland;18,00
Cragganmore 10yo Cask;Highland;19,90
Cragganmore 12yo;Highland;11,30
"Cragganmore 1989 """"Ever Green Forest"""" WM";Highland;23,80
Craigellachie 9yo 2002 SV;Highland;14,20
Craigellachie 1987 C&C;Highland;12,50
Cutty Sark 12yo Emerald;Highland;6,70
Cú Dhub;Highland;8,40
Dalmore 12yo;Highland;12,70
Dalmore 1986 Mac Killop's Cask Strenght;Highland;17,00
Dalmore 1263 King Alexander III;Highland;32,70
Dalmore 1999 CC;Highland;13,00
Dalwhinnie 15yo;Highland;13,10
Delilah's, Compass Box;Highland;13,40
Dewar's White Label;Highland;6,70
Dimple 15yo;Highland;10,40
Douglas Lang's Double Barrel Highland Park & Bowmore;Highland;13,50
Dufftown-Glenlivet 21yo Rare Malts;Highland;16,50
Edradour Ballechin 10yo;Highland;13,60
Edradour Ballechin Bourbon Cask;Highland;21,00
Edradour Ballechin Bordeaux Cask;Highland;15,50
Edradour Ballechin Madeira Cask;Highland;21,20
Edradour Ballechin Oloroso Cask;Highland;15,50
Edradour Ballechin Sauternes Cask;Highland;15,50
Edradour Ballechin Port Cask;Highland;16,80
Edradour Ballechin SFTC 13yo Port Cask;Highland;20,90
Edradour Super Tuscan Cask Matured;Highland;12,70
Edradour Barolo Cask Matured;Highland;12,70
Edradour 10yo;Highland;11,70
Edradour 10yo Burgundy Finish;Highland;18,70
Edradour 10yo Chardonney Finish;Highland;18,70
Edradour 10yo Port Finish;Highland;18,70
Edradour 12yo Caledonia;Highland;12,70
Edradour The Fairy Flag;Highland;18,20
Edradour Straight From The Cask 10yo;Highland;20,20
Enlightenment, Compass Box;Highland;14,90
Famous Grouse Smoky Black;Highland;7,40
Famous Grouse;Highland;6,70
Famous Grouse 12yo;Highland;9,90
Famous Naked Grouse;Highland;7,50
Fettercairn Fior;Highland;27,00
Glen Elgin 12yo;Highland;9,90
Glen Elgin 1989 Mac Killop's Cask Strenght;Highland;14,00
Glen Elgin '95 Eastern Promise, Wemyss Malts;Highland;17,70
Glen Garioch 10yo;Highland;9,90
Glen Garioch 12yo Bourbon & Sherry Cask;Highland;11,00
Glen Garioch 15yo;Highland;13,80
Glen Garioch 1797 Founders Reserve;Highland;9,90
Glen Mhor 1979;Highland;16,00
Glen Orrin 3yo;Highland;6,50
Glenburgie 15yo;Highland;8,80
Glencadam 10yo;Highland;11,70
Glencadam 12yo Portwood Finish;Highland;12,40
Glencadam 15yo;Highland;13,90
Glendronach 12yo;Highland;11,80
Glendronach 18yo;Highland;25,20
Glendronach 18yo Marsala Cask Finish;Highland;26,80
Glendronach 21yo Parliament;Highland;29,70
